 atom ion ishell  a       b     c       d     e
   14  3  2    133.0   66.7  -24.8   18.7  -65.0                        
   14  3  3    176.6   22.0   -7.2    3.3  -20.9                        
   16  5  1     72.7   19.8   -5.7    1.6  -11.9                        
   16  5  2    239.0   73.2  -27.0   15.8  -61.1                        
   16  5  3    288.2   23.1   -8.0    3.3  -19.5                        
   18  7  1    125.0   19.8   -5.7    1.9  -11.9                        
   18  7  2    373.0   74.8  -27.0   14.1  -58.6                        
   18  7  3    427.0   23.4   -8.3    3.3  -18.5                        
   20  9  1    189.0   19.8   -5.7    1.75 -11.9                        
   20  9  2    534.0   76.1  -27.0   12.8  -56.6                        
   20  9  3    593.1   23.5   -8.4    3.3  -17.8                        
   26 15  1    457.0   19.8   -5.7    2.1  -11.9                        
   26 15  2   1185.0   78.9  -27.0   10.6  -52.8                        
   26 15  3   1254.3   23.5   -7.8    3.3  -16.5                        
   28 17  1    571.0   19.8   -5.7    2.2  -11.9                        
   28 17  2   1458.0   79.6  -27.0   10.1  -51.9                        
   28 17  3   1529.1   23.5   -7.8    3.3  -16.2                        
   13  1  1      6.0   47.0  -26.0    0.6  -39.0                        
   13  1  2     10.6   55.1  -37.2    1.4  -41.0                        
   14  2  1     16.3   50.4  -33.4    0.6  -36.9                        
   14  2  2     22.9   55.1  -37.2    1.4  -41.0                        
   16  4  1     47.3   50.4  -33.4    0.6  -36.9                        
   16  4  2     57.6   55.1  -37.2    1.4  -41.0                        
   18  6  1     91.2   50.4  -33.4    0.6  -36.9                        
   18  6  2    105.0   55.1  -37.2    1.4  -41.0                        
   20  8  1    148.0   11.1   -3.35   1.26  -7.3                        
   20  8  2    165.0   22.7   -8.65   1.89 -15.5                        
   26 14  1    392.0    9.1   -2.6    1.4   -5.6                        
   26 14  2    421.0   28.2  -12.5    2.3  -19.4                        
   28 16  1    499.0    9.1   -2.6    1.4   -5.6                        
   28 16  2    531.0   28.2  -12.5    2.3  -19.4                        
   14  1  1      8.1   74.5  -49.4    1.3  -54.6                        
   14  1  2     13.5   53.8  -35.8    1.4  -40.7                        
   16  3  1     35.0   74.5  -49.4    1.3  -54.6                        
   16  3  2     43.8   53.8  -35.8    1.4  -40.7                        
   18  5  1     75.2   74.5  -49.4    1.3  -54.6                        
   18  5  2     87.6   53.8  -35.8    1.4  -40.7                        
   20  7  1    128.0   22.9   -7.4    2.84 -15.9                        
   20  7  2    144.0   21.9   -7.7    1.9  -14.9                        
   26 13  1    361.0   21.3   -5.9    3.0  -12.6                        
   26 13  2    388.0   26.4  -11.2    2.3  -18.1                        
   28 15  1    464.0   21.3   -5.9    3.0  -12.6                        
   28 15  2    494.0   26.4  -11.2    2.3  -18.1                        
   16  2  1     23.4   98.7  -65.4    1.9  -72.3                        
   16  2  2     30.7   52.5  -34.5    1.4  -40.5                        
   18  4  1     59.7   98.7  -65.4    1.9  -72.3                        
   18  4  2     70.4   52.5  -34.5    1.4  -40.5                        
   20  6  1    109.0   40.9  -13.6    3.44 -30.1                        
   20  6  2    123.0   20.4   -6.33   2.13 -13.8                        
   26 12  1    331.0   39.2   -9.7    4.4  -20.8                        
   26 12  2    356.0   24.6   -9.8    2.3  -16.8                        
   28 14  1    430.0   33.4   -9.7    4.6  -20.8                        
   28 14  2    458.0   24.6   -9.8    2.3  -16.8                        
   16  1  1     10.4    6.0  -22.0   20.0  -20.0                        
   16  1  2     20.2   51.3  -33.2    1.4  -40.2                        
   18  3  1     40.9  122.8  -81.4    2.6  -90.0                        
   18  3  2     55.5   51.3  -33.2    1.4  -40.2                        
   20  5  1     84.5   47.1  -14.5    4.75 -35.5                        
   20  5  2    104.0   18.9   -5.13   1.62 -13.2                        
   26 11  1    290.0   45.6  -13.9    6.2  -30.0                        
   26 11  2    324.0   22.8   -8.4    2.3  -15.4                        
   28 13  1    384.0   45.6  -13.9    6.2  -30.0                        
   28 13  2    423.0   22.8   -8.4    2.3  -15.4                        
   18  2  1     27.6  147.0  -97.4    3.2 -107.7                        
   18  2  2     41.7   50.0  -31.8    1.4  -40.0                        
   20  4  1     67.3   55.8  -15.8    6.4  -44.5                        
   20  4  2     86.4   16.2   -3.2    1.77 -11.6                        
   26 10  1    262.0   57.7  -18.6    7.8  -40.3    
   26 10  2    297.0   21.0   -7.1    2.3  -14.1
   28 12  1    352.0   57.7  -18.6    7.8  -40.3                        
   28 12  2    393.0   21.0   -7.1    2.3  -14.1                        
   18  1  1     15.8  171.1  -78.0    3.8 -169.0                        
   18  1  2     29.2   48.7  -30.5    1.4  -39.7                        
   20  3  1     51.2   74.3  -24.2    7.0  -63.0                        
   20  3  2     70.1   17.6   -3.8    1.95 -13.8                        
   26  9  1    235.0   69.9  -23.7    9.5  -51.7
   26  9  2    271.0   19.2   -5.7    2.3  -12.7 
   28 11  1    321.0   69.9  -23.7    9.5  -51.7                        
   28 11  2    363.0   19.2   -5.7    2.3  -12.7                        
   20  2  1     11.9    7.9   -2.0    0.2   -6.0                        
   20  2  2     37.0   74.3  -24.2    7.0  -63.0                        
   20  2  3     45.2   17.6   -3.8    1.9  -13.8                        
   26  8  1    151.7   14.3   -4.44   2.45  -9.53                        
   26  8  2    213.0   69.9  -23.7    9.5  -51.7 
   26  8  3    249.    19.2   -5.7    2.3  -12.7 
   28 10  1    225.0   12.5   -4.0    0.4   -6.0                        
   28 10  2    296.0   69.9  -23.7    9.5  -51.7                        
   28 10  3    338.0   19.2   -5.7    2.3  -12.7                        
   20  1  1      6.1    2.5   -2.5    8.0   -5.5                        
   20  1  2     28.0   74.3  -24.2    7.0  -63.0                        
   20  1  3     40.3   17.6   -3.8    1.9  -13.8                        
   26  7  1    124.2   14.6   -4.36   5.98 -10.5                        
   26  7  2    180.0   67.9  -20.6    9.82 -53.7                        
   26  7  3    220.9   15.6   -2.29   2.3  -10.6                        
   28  9  1    193.0   24.1   -7.7    0.7  -11.7                        
   28  9  2    271.0   69.9  -23.7    9.5  -51.7                        
   28  9  3    313.0   19.2   -5.7    2.3  -12.7                        
   26  6  1     98.69  36.9  -11.8   10.3  -31.5                        
   26  6  2    155.5   67.0  -18.6    9.43 -56.5                        
   26  6  3    195.8   12.7   -0.086  2.42  -8.97                        
   28  8  1    162.0   34.5  -10.9    1.1  -16.7                        
   28  8  2    246.0   69.9  -23.7    9.5  -51.7                        
   28  8  3    288.0   19.2   -5.7    2.3  -12.7                        
   26  5  1     75.15  48.10 -20.4   16.2  -48.4                       
   26  5  2    132.7   66.80 -18.9    9.29 -60.5                       
   26  5  3    172.4   13.4  -0.410   2.33 -10.9                        
   28  7  1    133.0   43.2  -13.7    1.3  -20.9                        
   28  7  2    221.0   69.9  -23.7    9.5  -51.7                        
   28  7  3    264.0   19.2   -5.7    2.3  -12.7                        
   26  4  1     53.74  77.40 -43.90  19.60 -81.9                        
   26  4  2    111.9   79.10 -30.0    8.38 -74.60                        
   26  4  3    151.0   16.70 -3.44    2.32  -15.10                       
   28  6  1    108.0   50.8  -16.1    1.6  -24.6                        
   28  6  2    196.0   69.9  -23.7    9.5  -51.7                        
   28  6  3    239.0   19.2   -5.7    2.3  -12.7                        
   26  3  1     34.75  84.77 -67.60  21.00 -84.08                       
   26  3  2     93.28  87.7  -49.6    11.4  -84.8                       
   26  3  3    131.9   25.9   -11.70  2.32 -23.90                       
   28  5  1     75.5   49.9  -15.9    1.6  -24.1                        
   28  5  2    171.0   69.9  -23.7    9.5  -51.7                        
   28  5  3    215.0   19.2   -5.7    2.3  -12.7                        
   26  2  1     16.18  17.40  -3.27   0.16  -10.16                        
   26  2  2     24.83  30.12  -38.82  18.60 -45.72                        
   26  2  3     83.37  115.0  -72.40  9.57 -107.0                      
   28  4  1     54.9   50.3  -16.0    1.6  -24.3                        
   28  4  2    146.0   69.9  -23.7    9.5  -51.7                        
   28  4  3    190.0   19.2   -5.7    2.3  -12.7                        
   26  1  1      7.9    31.9  -15.0    0.32   -28.1                        
   26  1  2      9.0    15.0  -16.7  7.0  -12.7                        
   26  1  3     59.0   115.0  -72.40  9.57 -107.0                       
   28  3  1     35.2   44.4  -14.1    1.4  -21.5                        
   28  3  2    122.0   69.9  -23.7    9.5  -51.7                        
   28  3  3    166.0   19.2   -5.7    2.3  -12.7                        
   28  2  1     18.2   32.2  -10.0    1.0  -15.4                        
   28  2  2     97.0   69.9  -23.7    9.5  -51.7                        
   28  2  3    142.0   19.2   -5.7    2.3  -12.7                        
   28  1  1      8.7    2.5   -0.8    0.2   -1.2                        
   28  1  2     10.0   12.6   -4.0    0.4   -6.1                        
   28  1  3     73.0   69.9  -23.7    9.5  -51.7                        
